ear_left,ear_right,ear_avg,mar,yaw,pitch,roll,ear_left_mean,ear_left_std,ear_left_min,ear_left_max,ear_right_mean,ear_right_std,ear_right_min,ear_right_max,ear_avg_mean,ear_avg_std,ear_avg_min,ear_avg_max,mar_mean,mar_std,mar_min,mar_max,yaw_mean,yaw_std,yaw_min,yaw_max,pitch_mean,pitch_std,pitch_min,pitch_max,roll_mean,roll_std,roll_min,roll_max,perclos,blink_rate,yaw_velocity,pitch_velocity,roll_velocity,subject_id,scenario,label_binary,label_smoothed
0.693038,0.448257,0.570648,0.55602,0.0,0.0,0.0,0.45148733333333335,0.10948971937033573,0.108876,0.793778,0.34983211000000003,0.05650103376688775,0.098232,0.490896,0.4006597333333334,0.0759393197846813,0.103554,0.629586,0.26116317666666666,0.08723860137050797,0.04681,0.566524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8932146829810903,34.03781979977753,0.0,0.0,0.0,1,nonsleepyCombination,0,0
0.533331,0.376373,0.454852,0.321334,0.0,0.0,0.0,0.45233755999999997,0.10912982735268341,0.108876,0.793778,0.3501210766666667,0.05641399560360888,0.098232,0.490896,0.40122933,0.07570164510568307,0.103554,0.629586,0.2615234433333333,0.08726325446382832,0.04681,0.566524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.888888888888889,34.0,0.0,0.0,0.0,1,nonsleepyCombination,0,0
0.727761,0.446898,0.587329,0.546721,0.0,0.0,0.0,0.45302325,0.11021024426360272,0.108876,0.793778,0.35050243000000003,0.05668048364153126,0.098232,0.490896,0.40176284999999995,0.07644615574635186,0.103554,0.629586,0.2621221166666667,0.08859602617070657,0.04681,0.566524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.888888888888889,34.0,0.0,0.0,0.0,1,nonsleepyCombination,0,0
0.500877,0.360742,0.430809,0.331209,0.0,0.0,0.0,0.4537091133333333,0.10986397602395943,0.108876,0.793778,0.3507232266666667,0.05659055482747003,0.098232,0.490896,0.40221618,0.07621268247565306,0.103554,0.629586,0.26251447333333333,0.08864061441613275,0.04681,0.566524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.888888888888889,34.0,0.0,0.0,0.0,1,nonsleepyCombination,0,0
0.802754,0.449092,0.625923,0.492025,0.0,0.0,0.0,0.4547647966666667,0.11168233137939253,0.108876,0.802754,0.3509690466666667,0.056857410813712636,0.098232,0.490896,0.40286693000000007,0.07728265461602687,0.103554,0.629586,0.2630481366666667,0.0895373108744062,0.04681,0.566524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.888888888888889,34.0,0.0,0.0,0.0,1,nonsleepyCombination,0,0
0.494258,0.360751,0.427504,0.332163,0.0,0.0,0.0,0.45535118666666674,0.11142517180171616,0.108876,0.802754,0.3511442633333333,0.05680609721126104,0.098232,0.490896,0.40324773,0.07712095352279204,0.103554,0.629586,0.26343779333333334,0.0895830226017492,0.04681,0.566524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.888888888888889,34.0,0.0,0.0,0.0,1,nonsleepyCombination,0,0
0.880832,0.445099,0.662966,0.417041,0.0,0.0,0.0,0.4566791966666667,0.11409124342090889,0.108876,0.880832,0.3514283433333333,0.05706242336066202,0.098232,0.490896,0.40405377666666664,0.07855898884393005,0.103554,0.662966,0.2638011266666667,0.08998467278110402,0.04681,0.566524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.888888888888889,34.0,0.0,0.0,0.0,1,nonsleepyCombination,0,0
0.465493,0.388629,0.427061,0.267521,0.0,0.0,0.0,0.4570987666666667,0.11389059498104315,0.108876,0.880832,0.35163568,0.057084280322438175,0.098232,0.490896,0.40436723,0.07846217743445748,0.103554,0.662966,0.26398323,0.08993656451651842,0.04681,0.566524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.888888888888889,34.0,0.0,0.0,0.0,1,nonsleepyCombination,0,0
0.505589,0.488103,0.496846,0.393055,0.0,0.0,0.0,0.45704332000000003,0.11386282944118378,0.108876,0.880832,0.3519033266666667,0.05753499153549883,0.098232,0.490896,0.40447332999999996,0.07856591603310882,0.103554,0.662966,0.2644654,0.09024000270745862,0.04681,0.566524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.888888888888889,34.0,0.0,0.0,0.0,1,nonsleepyCombination,0,0
0.504944,0.390964,0.447954,0.182121,0.0,0.0,0.0,0.45751253000000003,0.11376887107735792,0.108876,0.880832,0.3520549833333333,0.05757791609186049,0.098232,0.490896,0.4047837633333333,0.07855307192425032,0.103554,0.662966,0.26435953,0.09031814311640686,0.04681,0.566524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.888888888888889,34.0,0.0,0.0,0.0,1,nonsleepyCombination,0,0
0.585195,0.502374,0.543784,0.405212,0.0,0.0,0.0,0.4577595300000001,0.11396585889623093,0.108876,0.880832,0.35251939,0.058225139106096724,0.098232,0.502374,0.4051394633333334,0.07894042029977846,0.103554,0.662966,0.26479819666666665,0.09068208289682336,0.04681,0.566524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.888888888888889,34.0,0.0,0.0,0.0,1,nonsleepyCombination,0,0
0.510414,0.38713,0.448772,0.138734,0.0,0.0,0.0,0.45818501,0.11392322173692083,0.108876,0.880832,0.3526159933333333,0.05825854273005853,0.098232,0.502374,0.40540050333333333,0.07895483844584841,0.103554,0.662966,0.2646209766666667,0.09087676649557774,0.04681,0.566524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.888888888888889,34.0,0.0,0.0,0.0,1,nonsleepyCombination,0,0
0.658772,0.499313,0.579043,0.386523,0.0,0.0,0.0,0.45869799666666666,0.11447930367843343,0.108876,0.880832,0.35314901000000004,0.05886563156132458,0.098232,0.502374,0.40592350666666666,0.07958326799492758,0.103554,0.662966,0.2649891366666667,0.09114664699049561,0.04681,0.566524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.888888888888889,34.0,0.0,0.0,0.0,1,nonsleepyCombination,0,0
0.517105,0.372154,0.444629,0.126751,0.0,0.0,0.0,0.45910697,0.11446803558045332,0.108876,0.880832,0.3531728766666667,0.058871901245634226,0.098232,0.502374,0.4061399266666666,0.0796000036940636,0.103554,0.662966,0.26472247,0.09143417747884655,0.04681,0.566524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.888888888888889,34.0,0.0,0.0,0.0,1,nonsleepyCombination,0,0
0.716875,0.487653,0.602264,0.387215,0.0,0.0,0.0,0.4598884233333333,0.11542408634112321,0.108876,0.880832,0.35357518666666665,0.05937665579955041,0.098232,0.502374,0.40673180999999997,0.080394660528663,0.103554,0.662966,0.2649808033333333,0.09167089795216278,0.04681,0.566524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.888888888888889,34.0,0.0,0.0,0.0,1,nonsleepyCombination,0,0
