subject_id,scenario,frame_number,ear_left,ear_right,ear_avg,mar,yaw,pitch,roll,label_binary
001,sleepyCombination,1000,0.478759,0.325119,0.401939,0.278412,0.0,0.0,0.0,1
001,sleepyCombination,1001,0.480808,0.336585,0.408697,0.189362,0.0,0.0,0.0,1
001,sleepyCombination,1002,0.480895,0.345616,0.413255,0.173573,0.0,0.0,0.0,1
001,sleepyCombination,1003,0.482639,0.358906,0.420772,0.140391,0.0,0.0,0.0,1
001,sleepyCombination,1004,0.485829,0.367121,0.426475,0.131552,0.0,0.0,0.0,1
001,sleepyCombination,1005,0.495228,0.381657,0.438443,0.127524,0.0,0.0,0.0,1
001,sleepyCombination,1006,0.502083,0.389875,0.445979,0.126132,0.0,0.0,0.0,1
001,sleepyCombination,1007,0.513325,0.394829,0.454077,0.120349,0.0,0.0,0.0,1
001,sleepyCombination,1008,0.522967,0.405702,0.464335,0.121544,0.0,0.0,0.0,1
001,sleepyCombination,1009,0.529213,0.410787,0.47,0.119368,0.0,0.0,0.0,1
001,sleepyCombination,1010,0.532617,0.413132,0.472875,0.122734,0.0,0.0,0.0,1
001,sleepyCombination,1011,0.535833,0.413556,0.474694,0.122022,0.0,0.0,0.0,1
001,sleepyCombination,1012,0.545102,0.420765,0.482933,0.110788,0.0,0.0,0.0,1
001,sleepyCombination,1013,0.559272,0.427566,0.493419,0.095072,0.0,0.0,0.0,1
001,sleepyCombination,1014,0.566707,0.430469,0.498588,0.08329,0.0,0.0,0.0,1
001,sleepyCombination,1015,0.569138,0.428072,0.498605,0.078358,0.0,0.0,0.0,1
001,sleepyCombination,1016,0.571195,0.429411,0.500303,0.066717,0.0,0.0,0.0,1
001,sleepyCombination,1017,0.576164,0.428778,0.502471,0.063852,0.0,0.0,0.0,1
001,sleepyCombination,1018,0.577553,0.43155,0.504551,0.07068,0.0,0.0,0.0,1
001,sleepyCombination,1019,0.576625,0.431762,0.504194,0.070874,0.0,0.0,0.0,1
001,sleepyCombination,1020,0.582788,0.43083,0.506809,0.069316,0.0,0.0,0.0,1
001,sleepyCombination,1021,0.590829,0.428496,0.509663,0.067627,0.0,0.0,0.0,1
001,sleepyCombination,1022,0.590657,0.427935,0.509296,0.07087,0.0,0.0,0.0,1
001,sleepyCombination,1023,0.593614,0.426471,0.510042,0.071567,0.0,0.0,0.0,1
001,sleepyCombination,1024,0.602621,0.431746,0.517183,0.068078,0.0,0.0,0.0,1
001,sleepyCombination,1025,0.610846,0.434739,0.522792,0.067418,0.0,0.0,0.0,1
001,sleepyCombination,1026,0.608524,0.435685,0.522104,0.073178,0.0,0.0,0.0,1
001,sleepyCombination,1027,0.618197,0.441127,0.529662,0.053547,0.0,0.0,0.0,1
